Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
The Fastest Gun,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106059289/the-fastest-gun,3.9,-1,Trad,5.10b,4,500,44.40783,-73.50371
"Drop, Fly, or Die",The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106073694/drop-fly-or-die,3.9,-1,Trad,5.11a,1,80,44.1454,-73.75082
Frosted Mug,Upper Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106542971/frosted-mug,3.8,-1,Trad,5.9,1,90,44.14338,-73.75578
Quadrophenia AKA Bara Bara,Hurricane Crag > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/106197345/quadrophenia-aka-bara-bara,3.8,-1,Trad,5.7+ PG13,4,350,44.21541,-73.69944
Bloody Mary,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106078832/bloody-mary,3.7,-1,Trad,5.9,6,500,44.40783,-73.50371
On The Loose,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106054752/on-the-loose,3.7,-1,Trad,5.10a,1,90,44.1454,-73.75082
The Diagonal,Wallface > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/107201641/the-diagonal,3.4,-1,Trad,5.8,7,860,44.137,-74.035
The El,Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/106446972/the-el,3.7,-1,Trad,5.8,3,180,44.23598,-73.86449
Little Finger,Rogers Slide > Rogers Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/106092140/little-finger,3.6,-1,Trad,5.5,3,488,43.7974,-73.46669
TR,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106001608/tr,3.7,-1,Trad,5.10a/b,1,70,44.1454,-73.75082
Esthesia,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106069787/esthesia,3.6,-1,Trad,5.10a,1,90,44.1454,-73.75082
Gamesmanship,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106074170/gamesmanship,3.6,-1,Trad,5.8,5,500,44.40783,-73.50371
The Sting,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106051361/the-sting,3.6,-1,Trad,5.8,1,80,44.40783,-73.50371
Flying & Drinking and Drinking & Driving,Upper Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106787175/flying-drinking-and-drinking-driving,3.6,-1,Trad,5.10a PG13,1,100,44.14338,-73.75578
Regular Route,Chapel Pond Slab > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106411030/regular-route,3.4,-1,Trad,5.5 PG13,8,700,44.1361,-73.7429
Roaches on the Wall,Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/105990771/roaches-on-the-wall,3.6,-1,Trad,5.10,1,90,44.23598,-73.86449
Pete's Farewell,Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/105985117/petes-farewell,3.5,-1,Trad,5.7,3,150,44.23598,-73.86449
Mr. Clean,The Barkeater Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/106049524/mr-clean,3.5,-1,Trad,5.8,1,60,44.25695,-73.8634
Bozeman Bullet,Main Cliff > Deadwater > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106444941/bozeman-bullet,3.5,-1,Trad,5.6,1,100,44.06109,-73.66381
Empress,Chapel Pond Slab > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106526864/empress,3.4,-1,Trad,5.5 X,7,865,44.1361,-73.7429
Fear and Loathing in Keene Valley,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106054748/fear-and-loathing-in-keene-valley,3.8,-1,Trad,5.11b,1,80,44.1454,-73.75082
Slim Pickins,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106002348/slim-pickins,3.4,-1,Trad,5.9,1,90,44.1454,-73.75082
Rockaholic,Lower Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/105966643/rockaholic,3.3,-1,Trad,5.8,1,80,44.14472,-73.75802
